LADA,ESTADO,MUNICIPIO
218,VERACRUZ,TLACOJALPAN
222,PUEBLA,PUEBLA
223,PUEBLA,TEPEACA
224,PUEBLA,TECALI
225,VERACRUZ,TLAPCOYAN
226,VERACRUZ,ALTOTONGA
227,PUEBLA,HUEJOTZINGO
228,VERACRUZ,JALAPA
229,VERACRUZ,VERACRUZ
231,PUEBLA,TEZIUTLAN
232,VERACRUZ,MARTINEZ
233,PUEBLA,CUETZALAN
236,PUEBLA,AJALPAN
237,PUEBLA,TEHUACAN
238,PUEBLA,MIAHUATLAN
241,TLAXCALA,APIZACO
243,PUEBLA,IZUCAR
244,PUEBLA,ATLIXCO
245,PUEBLA,SERDAN
246,TLAXCALA,TLAXCALA
247,TLAXCALA,HUAMANTLA
248,PUEBLA,TEXMELUCAN
249,PUEBLA,ACATZINGO
271,VERACRUZ,CORDOBA
272,VERACRUZ,ORIZABA
273,VERACRUZ,COSCOMATEPEC
274,VERACRUZ,TIEBLANCA
275,PUEBLA,ACAJETE
276,PUEBLA,LIBRES
278,VERACRUZ,CUITLAHUAC
279,VERACRUZ,ACATLAN
281,OAXACA,LOMABONITA
282,VERACRUZ,PEROTE
283,VERACRUZ,ABASOLO
284,VERACRUZ,ANGELRC
285,VERACRUZ,SOLEDADD
287,OAXACA,TUXTEPEC
288,VERACRUZ,COSAMALOAPAN
294,VERACRUZ,CATEMACO
296,VERACRUZ,JOSCARDEL
297,VERACRUZ,ALVARADO
311,NAYARIT,TEPIC
312,COLIMA,COLIMA
313,COLIMA,ARMERIA
314,COLIMA,MANZANILLO
315,JALISCO,BARRA
316,JALISCO,AYUTLA
317,JALISCO,AUTLAN
319,NAYARIT,ROSAMORADA
321,JALISCO,ELGRULLO
322,JALISCO,PUERTOVAL
323,NAYARIT,SANTIAGI
324,NAYARIT,AHUACATLA
325,NAYARIT,ACAPONETA
326,JALISCO,ATEMAJAC
327,NAYARIT,COMPOSTELA
328,MICHOACAN,ECUANDUREO
329,NAYARIT,BUCERIAS
33,JALISCO,GUADALAJAR
341,JALISCO,GUZMAN
342,JALISCO,SAYULA
343,JALISCO,EJUTLA
344,JALISCO,MANALISCO
345,JALISCO,AYOTLAN
346,JALISCO,TEOCALTICHE
347,JALISCO,SANJULIAN
348,JALISCO,ARANDAS
349,JALISCO,ATENGO
351,MICHOACAN,ZAMORA
352,MICHOACAN,LAPIEDAD
353,MICHOACAN,JIQUILPAN
354,MICHOACAN,PERIBAN
355,MICHOACAN,TANGANCICU
356,MICHOACAN,YURECUARO
357,JALISCO,CASIMIRO
358,JALISCO,TAMAZULA
359,MICHOACAN,PENJAMILLO
371,JALISCO,TUXPAN
372,JALISCO,AMACUECA
373,JALISCO,CUQUIO
374,JALISCO,AMATITAN
375,JALISCO,AMECA
376,JALISCO,AJIJIC
377,JALISCO,AGUACALIENT
378,JALISCO,ACATIC
381,MICHOACAN,COJUMATLAN
382,JALISCO,MAZAMITLA
383,MICHOACAN,CHAVINDA
384,JALISCO,TALA
385,JALISCO,SANMARTINH
386,JALISCO,AHUALULCO
387,JALISCO,ACATLANJ
388,JALISCO,MASCOTA
389,NAYARIT,TECUALA
391,JALISCO,ATOTONILCO
392,JALISCO,OCOTLAN
393,JALISCO,LABARCA
394,MICHOACAN,COTIJA
395,JALISCO,SANDIEGO
411,GUANAJUATO,CORTAZAR
412,GUANAJUATO,COMONFORT
413,GUANAJUATO,APASEO
414,QUERETARO,TEQUISQUIAPA
415,GUANAJUATO,SANMIGUEL
417,GUANAJUATO,ACAMBARO
418,GUANAJUATO,DOLORESHI
419,GUANAJUATO,SANJOSE
421,GUANAJUATO,JERECUARO
422,MICHOACAN,ARIO
423,MICHOACAN,AHUIRAN
424,MICHOACAN,COALCOMAN
425,MICHOACAN,ANTUNEZ
426,MICHOACAN,AGUILILLA
427,QUERETARO,SANJUANDEL
428,GUANAJUATO,OCAMPO
429,GUANAJUATO,ABASOLO
431,JALISCO,JALOSTOTITL
432,GUANAJUATO,MANUEL
433,ZACATECAS,SOMBRERETE
434,MICHOACAN,PATZCUARO
435,MICHOACAN,HUETAMO
436,MICHOACAN,ZACAPU
437,JALISCO,BOLANOS
438,MICHOACAN,PURUANDIRO
441,QUERETARO,CADEREYTA
442,QUERETARO,QUERETARO
443,MICHOACAN,MORELIA
444,SLP,SANLUIS
445,GUANAJUATO,MOROLEON
447,MICHOACAN,MARAVATIO
448,QUERETARO,AMEALCO
449,AGUASCALIENTES,AGUASCALIE
451,MICHOACAN,INDAPARAPE
452,MICHOACAN,URUAPAN
453,MICHOACAN,APATZINGAN
454,MICHOACAN,COENEO
455,MICHOACAN,ALVAROO
456,GUANAJUATO,VALLEDS
457,ZACATECAS,JIMENEZ
458,AGUASCALIENTES,COSIO
459,MICHOACAN,CARACUARO
461,GUANAJUATO,CELAYA
462,GUANAJUATO,IRAPUATO
463,ZACATECAS,JALPA
464,GUANAJUATO,SALAMANCA
465,AGUASCALIENTES,RINCONDER
466,GUANAJUATO,SALVATIERRA
467,ZACATECAS,JUCHIPILA
468,GUANAJUATO,SANLUISDP
469,GUANAJUATO,PENJAMO
471,MICHOACAN,PUREPERO
472,GUANAJUATO,SILAO
473,GUANAJUATO,GUANAJUATO
474,JALISCO,LAGOSDEM
475,JALISCO,ENCARNACIO
476,GUANAJUATO,SANFRAN
477,GUANAJUATO,LEON
478,ZACATECAS,CALERA
481,SLP,CDVALLES
482,SLP,CDDELMAIZ
483,SLP,TAMAZUNCHA
485,SLP,SANTAMARIAD
486,SLP,CHARCAS
487,SLP,CDFERNANDEZ
488,SLP,CEDRAL
489,SLP,AXTLA
492,ZACATECAS,ZACATECAS
493,ZACATECAS,FRESNILLO
494,ZACATECAS,CDJEREZ
495,AGUASCALIENTES,CALVILLO
496,JALISCO,OJUELOS
498,ZACATECAS,JALDAMA
499,JALISCO,COLOTLAN
55,CDMEX,CDMX
588,MEXICO,CHAPADEM
591,MEXICO,ZUMPANGO
592,MEXICO,OTUMBA
593,MEXICO,COYOTEPEC
594,MEXICO,TEOTIHUACAN
595,MEXICO,TEXCOCO
596,MEXICO,TEMASCALAPA
597,MEXICO,AMECAMECA
599,MEXICO,APAXCO
612,BCS,LAPAZ
613,BCS,CONSTITUCIO
614,CHIHUAHUA,CHIHUAHUA
615,BCS,GUERRERON
616,BC,SANQUINTIN
618,DURANGO,DURANGO
621,CHIHUAHUA,NAICA
622,SONORA,EMPALME
623,SONORA,ACONCHI
624,BCS,CABOSANLUC
625,CHIHUAHUA,CUAUHTEMOC
626,CHIHUAHUA,COYAME
627,CHIHUAHUA,PARRAL
628,CHIHUAHUA,MARIANO
629,CHIHUAHUA,JIMENEZ
631,SONORA,NOGALES
632,SONORA,IMURIS
633,SONORA,AGUAPRIETA
634,SONORA,ARIVECHI
635,CHIHUAHUA,BASASEACHI
636,CHIHUAHUA,BENITOJ
637,SONORA,ALTAR
638,SONORA,PUERTOPE
639,CHIHUAHUA,DELICIAS
641,SONORA,BENJAMINH
642,SONORA,NAVOJOA
643,SONORA,EJIDOFRAN
644,SONORA,OBREGON
645,SONORA,CANANEA
646,BC,ENSENADA
647,SONORA,HUATABAMPO
648,CHIHUAHUA,CAMARGO
649,CHIHUAHUA,BABORIGAME
651,SONORA,SONOITA
652,CHIHUAHUA,MADERA
653,SONORA,SANLUISRC
656,CHIHUAHUA,JUAREZ
659,CHIHUAHUA,ABRAHAMG
661,BC,ROSARITO
662,SONORA,HERMOSILLO
664,BC,TIJUANA
665,BC,TECATE
667,SINALOA,CULIACAN
668,SINALOA,LOSMOCHIS
669,SINALOA,MAZATLAN
671,DURANGO,CUENCAME
672,SINALOA,NAVOLATO
673,SINALOA,GUAMUCHIL
674,DURANGO,GUANACEVI
675,DURANGO,ELSALTO
